Sr No,Company Name,Founder,Role,Sector,What They Do,Why Its a Social Enterprise,City,Website Domain,Size Estimate
15,Chikitsak,Milind Naik,Founder,HealthTech - Rural Screening,Portable low-cost medical screening kit with cloud EMR for rural primary healthcare by low-skilled workers,Social enterprise built for last-mile healthcare where doctors dont reach,Bengaluru,chikitsak.com,Very Small (<20 team)
16,WeGoT (VenAqua),Abhiram Seth,Co-founder,IoT - Water Conservation,IoT platform for real-time household water management; saved 300M+ litres of water,Mission-driven water conservation enterprise; IIT Madras incubated,Chennai,wegot.in,Small (30-50 team)
17,Swajal,Vibha Tripathi,Founder,IoT - Clean Water Access,Solar-powered IoT water ATMs providing affordable clean drinking water in villages and slums,Social enterprise providing clean water at Rs 5/litre to BOP communities,Delhi,swajal.in,Small (30-50 team)
18,Redcode Informatics,Karthik Naralasetty,Founder & CEO,Digital Platform - Access,Tech platform enhancing digital access and information for underserved communities,Forbes 30 Under 30 social innovator; mission to bridge digital divide,India,redcodeinformatics.com,Small (<30 team)
19,Forus Health,Dr. K. Chandrasekhar,Founder,MedTech - Eye Screening,Portable retinal eye imaging devices for rural blindness detection; served 2M+ people in 25+ countries,Built to detect preventable blindness where there are no ophthalmologists,Bengaluru,forushealth.com,Small-Medium (50-100)
20,BharatRohan,Amandeep Panwar,Co-founder,AgriTech - Drone Crop Health,Drone-based hyperspectral imaging for smallholder crop health monitoring and pest detection,Villgro-backed social enterprise serving smallholder farmers; affordable precision agriculture,Gurugram,bharatrohan.in,Small (30-50 team)
21,Gramophone,Tauseef Khan,Co-founder,AgriTech - AI Crop Advisory,Free personalized AI crop advisory plus affordable agri-input marketplace for smallholder farmers,Social mission: free advisory to farmers; serves millions of small farmers in MP and beyond,Indore,gramophone.in,Small-Medium (80-120)
22,Vidyakul,Tarun Saini,Founder,EdTech - Vernacular State Board,Affordable digital education platform for state board students in Hindi and regional languages,Built for students underserved by mainstream edtech which focuses on CBSE/English,Delhi,vidyakul.com,Small (30-50 team)
23,Ecozen Solutions,Devendra Gupta,Co-founder,Solar - Cold Storage for Farmers,Solar-powered cold storage and irrigation solutions for smallholder farmers reducing post-harvest loss,Social enterprise ensuring small farmers can store produce; reduces food waste; IIT alumni founded,Pune,ecozensolutions.com,Medium (100-200)
24,Tech4Good Labs,Shemeer Babu,Co-founder,Digital - Tech for Changemakers,Partners with change-makers to build simple tech solutions for community impact; runs Tech4Good Fellowship,Mission-first: exists to serve social sector with technology; nonprofit model,India,tech4goodlabs.com,Very Small (<20 team)
25,Innaumation Medical Devices,Dr. Vishal U S Rao,Founder,MedTech - Voice Prosthesis,Affordable voice prosthesis (Aum) for cancer patients who lose speech; fraction of imported device cost,Villgro-incubated; built to make life-saving device affordable for poor cancer patients,Bengaluru,innaumation.com,Very Small (<15 team)
26,CultYvate,,Founder,AgriTech - IoT Carbon Credits,IoT-enabled alternate wetting and drying system for rice; reduces GHG emissions and earns carbon credits for farmers,Villgro-backed; dual mission of climate action and farmer income increase,India,cultyvateindia.com,Very Small (<20 team)
27,Bharat Krushi Seva,,Founder,AgriTech - Farm Advisory,AI-based crop advisory and agri-input platform for smallholder farmers in regional languages,Villgro-backed seed-stage social enterprise; mission to serve marginal farmers,India,bharatkrushiseva.com,Very Small (<15 team)
28,Saltech,,Founder,CleanTech - Plastic to Building,Converts plastic waste into high-performance composite building materials using patented recycling tech,Villgro-incubated; dual impact: waste reduction + affordable building materials,India,,Very Small (<15 team)
29,JalSevak Solutions,,Founder,CleanTech - Greywater Recycling,Decentralized household greywater recycling unit for toilet flushing and gardening; affordable and scalable,Villgro-incubated; solves sewage and water scarcity at household level for low-income areas,India,,Very Small (<15 team)
30,Cherries Engineering,Founder on LinkedIn,Founder,SanitationTech - Anti Manual Scavenging,JALODBUST Pride - portable sanitation equipment to eliminate manual scavenging from septic tanks,Villgro-incubated; mission to end manual scavenging which affects Dalits disproportionately,India,,Very Small (<15 team)
